Date,Time,Latitude,Longitude,Altitude,Residual Error,Clock Error,Cumulative Clock Error,No Satellites Used,No Satellites Provided
06/12/2006,15:39:01,-54.009031,-38.04976,16,7.40491,0.01,2,5,5
06/12/2006,15:54:00,-54.008278,-38.050858,16,16.83057,-0.09,1.91,7,7
06/12/2006,16:24:00,-54.008619,-38.050894,16,9.50991,-0.99,0.92,6,6
06/12/2006,16:39:00,-54.008496,-38.050749,16,14.45591,1.09,2.01,7,7
06/12/2006,16:54:00,-54.008421,-38.050726,16,21.820871,0.08,2.09,8,8
06/12/2006,17:09:00,-54.008198,-38.051143,16,9.508041,-1.07,1.02,6,6
06/12/2006,17:24:00,-54.008224,-38.051117,16,13.859014,1.08,2.1,8,8
06/12/2006,17:39:00,-54.008517,-38.050933,16,12.791266,-0.95,1.15,7,7
06/12/2006,17:54:00,-54.008438,-38.050547,16,14.019035,-0.04,1.11,7,7
06/12/2006,18:09:00,-54.008183,-38.051308,16,24.531484,1.11,2.22,6,6
06/12/2006,18:26:00,-54.008351,-38.051064,16,17.651684,-0.93,1.29,6,6
06/12/2006,19:02:00,-54.008518,-38.051048,16,11.125831,-0.03,1.26,6,6
06/12/2006,19:19:00,-54.00885,-38.051279,16,0.255327,-0.04,1.26,4,4
06/12/2006,19:36:00,-54.008446,-38.051615,16,11.490298,0.02,1.28,6,6
06/12/2006,19:51:00,-54.009181,-38.050321,16,0.379443,-0.08,1.28,4,4
06/12/2006,20:06:00,-54.008218,-38.050771,16,0.202292,0.16,1.28,4,4
06/12/2006,20:38:00,-54.008342,-38.051704,16,12.757863,-0.68,0.6,7,8
06/12/2006,20:53:00,-54.008534,-38.051269,16,15.732818,1.12,1.72,6,6
06/12/2006,21:08:00,-54.008637,-38.052132,16,12.517501,0.04,1.76,6,6
06/12/2006,21:23:00,-54.008466,-38.051578,16,11.20328,-0.99,0.77,7,7
06/12/2006,21:38:00,-54.008143,-38.051981,16,11.873176,1.05,1.82,6,6
06/12/2006,21:53:00,-54.008409,-38.04973,16,28.558354,0.24,1.82,5,5
06/12/2006,22:08:00,-54.008809,-38.053727,16,10.061877,-1.16,1.82,5,5
06/12/2006,22:23:00,-54.008407,-38.051429,16,0.332419,0.32,1.82,4,4
06/12/2006,22:38:00,-54.008027,-38.052289,16,17.662104,-0.71,1.11,6,7
06/12/2006,22:53:00,-54.005683,-38.051393,16,3.676168,0.22,1.33,6,6
06/12/2006,23:08:00,-54.008284,-38.051598,16,12.614752,0.89,2.22,7,7
06/12/2006,23:23:00,-54.008347,-38.051473,16,21.753212,-0.93,1.29,8,8
06/12/2006,23:38:00,-54.008507,-38.051463,16,22.654295,-0.08,1.21,6,6
06/12/2006,23:53:00,-54.008357,-38.051406,16,16.228824,0.17,1.21,5,5
07/12/2006,00:08:00,-54.008531,-38.051533,16,4.581241,0.17,1.21,5,5
07/12/2006,00:25:00,-54.009108,-38.051973,16,0.37354,0.12,1.21,4,4
07/12/2006,00:40:00,-54.008105,-38.051274,16,0.360474,0.44,1.21,4,4
07/12/2006,00:55:00,-54.008302,-38.051478,16,14.676511,0.41,1.62,6,6
07/12/2006,01:10:00,-54.008636,-38.050795,16,19.287362,-0.83,0.79,6,6
07/12/2006,01:25:00,-54.00728,-38.051933,16,0.663263,0.94,0.79,4,4
07/12/2006,01:40:00,-54.007851,-38.051835,16,1.662871,-0.05,0.79,5,6
07/12/2006,01:55:00,-54.008684,-38.051068,16,22.342625,0.17,0.96,6,6
07/12/2006,02:25:00,-54.008432,-38.051124,16,9.798557,-0.01,0.95,7,7
07/12/2006,02:40:00,-54.008704,-38.051484,16,18.714059,0.05,0.95,5,5
07/12/2006,02:55:00,-54.008297,-38.051289,16,10.186667,1.13,2.08,7,7
07/12/2006,03:10:00,-54.008576,-38.051002,16,21.649627,-1.06,1.02,8,8
07/12/2006,03:27:00,-54.00868,-38.051124,16,23.522796,1.15,2.17,8,8
07/12/2006,03:46:00,-54.008402,-38.051568,16,9.916126,-0.97,1.2,7,7
07/12/2006,04:03:00,-54.008498,-38.051221,16,14.138087,1.14,2.34,7,7
07/12/2006,04:18:00,-54.009286,-38.051647,16,1.715583,-0.92,2.34,4,4
07/12/2006,04:48:00,-54.008406,-38.051525,16,29.832175,-0.93,1.41,8,8
07/12/2006,05:03:00,-54.008588,-38.052149,16,25.803638,-0.05,1.36,8,8
07/12/2006,05:18:00,-54.008653,-38.051708,16,24.783848,0.05,1.41,7,7
07/12/2006,05:33:00,-54.00809,-38.05149,16,20.337659,0.11,1.52,8,8
07/12/2006,05:48:00,-54.008666,-38.051564,16,22.05512,0.11,1.63,7,7
07/12/2006,06:03:00,-54.008478,-38.051706,16,22.697634,-0.06,1.57,8,8
07/12/2006,06:18:00,-54.008586,-38.050048,16,0.565551,0.08,1.57,4,4
07/12/2006,06:33:00,-54.007641,-38.049989,16,14.870542,0.28,1.57,5,5
07/12/2006,06:48:00,-54.008134,-38.047697,16,20.363313,-0.56,1.01,6,6
07/12/2006,07:03:00,-54.008804,-38.050801,16,2.991914,0.86,1.01,5,5
07/12/2006,07:18:00,-54.009396,-38.048995,16,1.261526,1.12,1.01,4,4
07/12/2006,07:33:00,-54.008169,-38.0513,16,5.603841,-0.09,0.92,6,6
07/12/2006,08:03:00,-54.008658,-38.050994,16,10.303065,0.23,1.15,6,6
07/12/2006,10:26:00,-54.008195,-38.051064,16,9.259445,-0.11,1.04,6,6
07/12/2006,10:41:00,-54.008444,-38.050959,16,11.817432,1.11,1.04,5,5
07/12/2006,10:56:00,-54.009146,-38.051748,16,1.434289,0.31,1.04,4,4
07/12/2006,11:36:00,-54.007269,-38.051233,16,0.907341,0.18,1.04,4,4
07/12/2006,11:55:00,-54.007483,-38.049352,16,0.432245,0.51,1.04,4,4
07/12/2006,12:10:00,-54.00505,-38.03718,16,0.252121,1.68,1.04,4,4
07/12/2006,13:07:00,-54.008488,-38.052558,16,0.287936,0.89,1.04,4,4
