Date,Time,Latitude,Longitude,Altitude,Residual Error,Clock Error,Cumulative Clock Error,NoSats Used,No Sats Provided,
21/12/2006,16:53:00,-54.008541,-38.05118,16,12.060091,-3.14,-1.14,7,7,6
21/12/2006,17:08:00,-54.007869,-38.051189,16,0.245001,0.2,-1.14,4,4,7
21/12/2006,17:23:00,-54.008414,-38.051467,16,4.071037,0.17,-1.14,5,5,8
21/12/2006,17:38:00,-54.008191,-38.051923,16,15.768849,-0.81,-1.95,7,7,9
21/12/2006,17:53:00,-54.0088,-38.051606,16,13.96715,1.12,-0.83,7,7,10
21/12/2006,18:08:00,-54.008241,-38.05125,16,20.630145,0.14,-0.69,7,7,11
21/12/2006,18:24:00,-54.009131,-38.051534,16,2.355697,-0.48,-0.69,4,4,13
21/12/2006,18:39:00,-54.00824,-38.051582,16,10.832423,-0.4,-0.69,5,5,14
21/12/2006,18:54:00,-54.008828,-38.051,16,7.82246,-0.16,-0.69,5,5,15
21/12/2006,19:09:00,-54.008596,-38.051495,16,19.15433,0.04,-0.65,7,7,16
21/12/2006,19:24:00,-54.008672,-38.051907,16,16.728187,-1.07,-0.65,5,5,17
21/12/2006,19:39:00,-54.008596,-38.051495,16,22.102142,0.1,-0.55,7,7,18
21/12/2006,19:54:00,-54.008229,-38.05131,16,27.76016,-0.87,-1.42,6,6,19
21/12/2006,20:09:00,-54.008132,-38.051394,16,5.375144,-0.05,-1.42,5,5,20
21/12/2006,20:24:00,-54.00868,-38.051596,16,11.163024,1.18,-0.24,6,6,21
21/12/2006,20:40:00,-54.008425,-38.051811,16,13.115668,-1.45,-1.69,6,6,23
21/12/2006,20:55:00,-54.008672,-38.051454,16,2.807544,1.13,-1.69,5,5,24
21/12/2006,21:11:00,-54.008738,-38.051017,16,10.346178,0.77,-0.92,7,7,26
21/12/2006,21:26:00,-54.008161,-38.05132,16,25.569069,-0.02,-0.94,8,8,27
21/12/2006,21:41:00,-54.008401,-38.053778,16,0.37691,-0.78,-0.94,4,4,28
21/12/2006,21:56:00,-54.008295,-38.051848,16,19.27611,0.08,-0.86,6,6,29
21/12/2006,22:11:00,-54.008753,-38.051252,16,7.404338,0.03,-0.83,6,6,30
21/12/2006,22:26:00,-54.007892,-38.052151,16,25.854328,-1.07,-1.9,6,6,31
21/12/2006,22:41:00,-54.008205,-38.051661,16,27.733483,1.18,-0.72,8,8,32
21/12/2006,23:14:00,-54.008653,-38.051774,16,1.108069,-0.5,-0.72,4,4,37
21/12/2006,23:29:00,-54.008689,-38.051904,16,23.895569,-0.38,-1.1,6,6,38
21/12/2006,23:44:00,-54.00855,-38.051434,16,5.932196,0.08,-1.02,6,6,39
22/12/2006,00:02:01,-54.008741,-38.050994,16,17.002886,-1.02,-2.04,7,7,43
22/12/2006,00:17:00,-54.008935,-38.051359,16,16.023309,0.83,-1.21,6,6,44
22/12/2006,00:32:00,-54.008835,-38.051567,16,9.277872,0,-1.21,5,5,45
