Date,Time,Latitude,Longitude,Altitude,Residual Error,Clock Error,Cumulative Clock Error,No Sats Used,No Sats Provided
23/12/2006,18:27:00,-53.982746,-38.048799,16,0.551272,-3.1,2,4,4
23/12/2006,19:29:01,-54.008672,-38.051365,16,11.008467,-6.68,-4.68,8,8
23/12/2006,19:44:00,-54.008659,-38.052212,16,10.292152,-0.24,-4.68,5,5
23/12/2006,20:00:00,-54.008146,-38.05107,16,4.580008,0.38,-4.3,7,7
23/12/2006,20:34:00,-54.009039,-38.051566,16,14.14033,0.05,-4.25,6,6
23/12/2006,20:49:00,-54.008563,-38.0511,16,3.415376,-0.89,-5.14,6,6
23/12/2006,21:05:00,-54.008291,-38.053271,16,1.375039,0.56,-5.14,4,4
23/12/2006,21:20:00,-54.008241,-38.052449,16,21.828194,0.7,-4.44,7,7
23/12/2006,21:35:00,-54.008261,-38.051788,16,12.717149,0.12,-4.44,5,5
23/12/2006,21:50:00,-54.00841,-38.05196,16,26.066163,-0.89,-5.33,6,6
23/12/2006,22:05:00,-54.008675,-38.05078,16,0.491452,1.06,-5.33,4,4
23/12/2006,22:20:00,-54.00803,-38.052003,16,1.331481,1.16,-5.33,4,4
24/12/2006,01:37:00,-54.008353,-38.052243,16,2.803155,0.15,-5.33,5,5
24/12/2006,01:52:00,-54.007887,-38.053121,16,20.387943,1.05,-4.28,7,7
24/12/2006,02:07:00,-54.00843,-38.051867,16,12.714133,-0.8,-4.28,5,5
24/12/2006,02:58:00,-54.008334,-38.056355,16,12.723118,-1.21,-4.28,5,5
24/12/2006,03:13:00,-54.007958,-38.051636,16,5.526518,-0.68,-4.96,7,7
24/12/2006,03:28:00,-54.008139,-38.05165,16,6.764673,-0.09,-5.05,8,8
24/12/2006,03:43:00,-54.00856,-38.051404,16,16.314882,0.25,-4.8,8,8
24/12/2006,03:58:00,-54.008831,-38.052719,16,16.024039,0.12,-4.68,6,6
24/12/2006,04:13:00,-54.008252,-38.051284,16,12.340154,0.01,-4.67,6,6
24/12/2006,04:28:00,-54.008468,-38.051388,16,24.658949,-0.9,-5.57,8,8
24/12/2006,04:43:00,-54.00869,-38.052296,16,25.154602,1.09,-4.48,8,8
24/12/2006,04:58:00,-54.007999,-38.050955,16,1.66148,-0.8,-4.48,5,5
24/12/2006,05:13:00,-54.008475,-38.05044,16,23.773672,-0.62,-5.1,7,7
24/12/2006,06:04:00,-54.008075,-38.051504,16,2.507629,0.92,-5.1,5,5
24/12/2006,06:21:00,-54.007785,-38.050786,16,0.236965,0.04,-5.1,4,4
24/12/2006,06:38:00,-54.008402,-38.051217,16,0.770447,0.44,-5.1,4,4
24/12/2006,06:53:00,-54.008684,-38.051078,16,2.770977,0.6,-4.5,6,6
24/12/2006,07:08:00,-54.008804,-38.051124,16,10.605519,-1.01,-5.51,7,7
24/12/2006,07:23:00,-54.008588,-38.052346,16,10.392306,0.95,-5.51,5,5
24/12/2006,07:38:00,-54.00831,-38.051884,16,29.327556,1.12,-4.39,8,8
24/12/2006,07:53:00,-54.00832,-38.052701,16,14.649436,-0.97,-5.36,6,6
24/12/2006,08:08:00,-54.007561,-38.049497,16,2.350158,1.2,-5.36,5,5
24/12/2006,08:23:00,-54.008338,-38.052149,16,13.245088,0.14,-5.22,8,8
24/12/2006,09:14:00,-54.007284,-38.05464,16,0.130951,-0.02,-5.22,4,4
24/12/2006,09:29:00,-54.008059,-38.058837,16,0.278743,-0.1,-5.22,4,4
24/12/2006,09:59:00,-54.008419,-38.051217,16,1.031822,-0.59,-5.22,4,4
24/12/2006,10:14:00,-54.008849,-38.05211,16,20.319281,0.65,-4.57,7,7
24/12/2006,10:29:00,-54.00812,-38.051887,16,0.545053,0.1,-4.57,4,4
24/12/2006,11:03:01,-53.996385,-38.04145,16,0.4171,-1.02,-4.57,4,4
24/12/2006,11:18:00,-54.00664,-38.050288,16,1.886539,-0.67,-4.57,5,5
24/12/2006,11:33:00,-54.007429,-38.056311,16,23.886782,0.04,-4.57,5,5
24/12/2006,11:51:00,-54.007258,-38.054305,16,0.502502,-0.09,-4.57,4,4
24/12/2006,12:07:00,-54.007295,-38.052375,16,14.654755,-1.2,-4.57,5,5
24/12/2006,12:22:00,-53.989814,-38.055602,16,26.314815,-2.11,-4.57,4,4
24/12/2006,12:37:00,-53.998449,-38.066846,16,1.38715,0.02,-4.57,4,4
24/12/2006,12:52:00,-54.010103,-38.049447,16,0.481774,-0.88,-4.57,4,4
24/12/2006,13:07:00,-54.00807,-38.051205,16,1.44052,-0.53,-4.57,5,5
24/12/2006,13:22:00,-54.008703,-38.051879,16,23.452117,-0.6,-5.17,6,6
24/12/2006,13:37:00,-54.008394,-38.051764,16,9.973944,0.05,-5.12,8,8
24/12/2006,13:52:00,-54.008066,-38.051576,16,16.249308,0.25,-5.12,5,5
24/12/2006,15:37:00,-53.981706,-38.000365,16,3.791913,4.84,-5.12,4,4
24/12/2006,15:52:00,-54.008422,-38.052277,16,1.958755,-0.2,-5.12,5,5
24/12/2006,16:08:00,-54.008515,-38.051035,16,15.024355,-0.61,-5.73,6,6
24/12/2006,16:41:00,-54.008221,-38.051466,16,8.504634,0.55,-5.73,5,5
24/12/2006,16:56:00,-54.008482,-38.0512,16,0.113027,0.68,-5.73,4,4
24/12/2006,18:26:00,-54.011327,-38.050722,16,4.770322,0.35,-5.73,5,5
24/12/2006,19:17:00,-54.008484,-38.051151,16,0.352139,0.31,-5.73,4,4
24/12/2006,21:02:00,-54.012309,-38.041836,16,12.948674,1.5,-5.73,5,5
24/12/2006,21:17:00,-54.008509,-38.051428,16,1.588036,-0.06,-5.73,5,5
24/12/2006,21:32:00,-54.008423,-38.051738,16,1.191026,-0.06,-5.73,4,4
24/12/2006,21:47:00,-54.007771,-38.051948,16,0.83736,0.18,-5.73,4,4
24/12/2006,23:53:00,-54.006001,-38.052756,16,0.405967,0.81,-5.73,4,4
25/12/2006,00:08:00,-54.008517,-38.051163,16,3.842717,0.16,-5.57,6,6
25/12/2006,00:23:00,-54.007095,-38.052303,16,1.200523,-0.07,-5.57,4,4
25/12/2006,00:38:00,-54.008172,-38.051852,16,9.589668,-0.02,-5.59,6,6
25/12/2006,01:31:00,-54.008365,-38.050952,16,11.905241,0.11,-5.59,5,5
25/12/2006,02:05:00,-54.008405,-38.051706,16,19.649874,0.34,-5.25,8,8
25/12/2006,02:20:00,-54.008708,-38.050484,16,10.682655,-1,-6.25,6,6
25/12/2006,02:35:00,-54.007934,-38.052474,16,17.995126,1.11,-5.14,6,7
25/12/2006,02:50:00,-54.005702,-38.03765,16,11.004005,0.2,-5.14,5,5
25/12/2006,03:05:00,-54.008307,-38.050861,16,22.424962,-0.92,-6.06,7,7
25/12/2006,03:20:00,-54.008961,-38.051033,16,15.280128,1.06,-5,7,7
25/12/2006,03:35:00,-54.008294,-38.051287,16,21.099324,-0.87,-5.87,8,8
25/12/2006,04:06:00,-54.007413,-38.051984,16,24.483714,-0.28,-6.15,6,6
25/12/2006,04:22:00,-54.008395,-38.05144,16,16.897643,0.71,-5.44,8,8
25/12/2006,05:13:00,-54.005709,-38.056018,16,0.778275,-1.1,-5.44,4,4
25/12/2006,05:28:00,-54.008229,-38.051257,16,17.703629,0.38,-5.06,7,7
25/12/2006,06:57:00,-54.007914,-38.050396,16,21.521347,-0.96,-5.06,5,5
25/12/2006,07:12:00,-54.007733,-38.050733,16,1.05515,0.13,-5.06,4,4
25/12/2006,07:27:00,-54.009707,-38.049124,16,0.09819,-0.85,-5.06,4,4
25/12/2006,07:45:00,-54.008713,-38.051781,16,7.310533,-0.83,-5.89,6,6
25/12/2006,08:01:00,-54.008308,-38.051732,16,23.521585,0.66,-5.23,7,7
25/12/2006,08:16:00,-54.008136,-38.050629,16,9.937806,-1.15,-5.23,5,5
25/12/2006,08:31:00,-54.008584,-38.050268,16,1.035013,-0.96,-6.19,6,6
25/12/2006,09:23:00,-54.007471,-38.056568,16,0.501584,-0.75,-6.19,4,4
25/12/2006,09:38:00,-54.008376,-38.051682,16,28.632446,0.89,-5.3,7,7
25/12/2006,09:53:00,-54.008184,-38.052915,16,17.985217,-0.86,-5.3,5,5
25/12/2006,10:08:00,-54.008611,-38.051618,16,15.879464,-0.8,-6.1,8,8
25/12/2006,12:29:00,-54.008718,-38.051814,16,9.431086,0.63,-5.47,8,8
25/12/2006,12:45:00,-54.009324,-38.050409,16,1.452598,-0.37,-5.47,4,4
25/12/2006,13:00:00,-54.008483,-38.051065,16,17.180823,-0.08,-5.55,8,8
25/12/2006,15:40:00,-54.008765,-38.051362,16,11.278381,-0.4,-5.55,5,5
25/12/2006,15:55:00,-54.008394,-38.051827,16,15.030051,-0.49,-6.04,8,8
25/12/2006,16:10:00,-54.00796,-38.051691,16,2.458993,-0.91,-6.95,6,6
25/12/2006,16:25:00,-54.008145,-38.051311,16,2.44479,1.12,-5.83,6,6
25/12/2006,17:52:00,-54.008341,-38.051441,16,7.715327,-0.17,-6,6,6
25/12/2006,18:07:00,-54.008451,-38.051832,16,10.756713,-0.93,-6.93,6,6
25/12/2006,18:22:00,-54.011372,-38.052823,16,0.26159,0.77,-6.93,4,4
25/12/2006,18:37:00,-54.008529,-38.051106,16,12.455366,0.14,-6.79,6,6
25/12/2006,19:10:00,-54.00959,-38.05291,16,1.324824,-0.54,-6.79,4,4
25/12/2006,19:25:00,-54.00838,-38.051438,16,18.991847,0.83,-5.96,7,7
25/12/2006,19:40:00,-54.008936,-38.05163,16,3.361262,-0.08,-6.04,7,7
25/12/2006,19:55:00,-54.008644,-38.051877,16,11.92133,-0.98,-7.02,6,6
25/12/2006,20:10:00,-54.008699,-38.051204,16,6.742597,1.17,-5.85,6,6
25/12/2006,20:25:00,-54.008549,-38.052171,16,0.635563,-1.15,-5.85,4,4
25/12/2006,20:40:00,-54.008264,-38.050717,16,6.89076,-0.82,-5.85,5,5
25/12/2006,20:55:00,-54.008112,-38.050664,16,4.030383,0.23,-5.85,5,5
25/12/2006,21:10:00,-54.008827,-38.051095,16,11.297066,-0.89,-6.74,6,6
25/12/2006,21:25:00,-54.00906,-38.052222,16,0.238361,-0.04,-6.74,5,5
25/12/2006,21:40:00,-54.010586,-38.046048,16,2.992713,0.01,-6.74,4,4
25/12/2006,21:55:00,-54.008438,-38.051567,16,19.17854,0.24,-6.5,8,8
25/12/2006,22:10:00,-54.008758,-38.05108,16,3.521923,-0.84,-7.34,6,6
25/12/2006,22:25:00,-54.00825,-38.051648,16,23.403293,1.1,-6.24,6,6
25/12/2006,22:40:00,-54.008178,-38.05164,16,5.861043,-0.07,-6.24,5,5
25/12/2006,22:55:00,-54.008652,-38.052097,16,1.588429,-1.03,-6.24,4,4
25/12/2006,23:28:00,-54.007603,-38.052515,16,0.244669,-0.52,-6.24,4,4
25/12/2006,23:43:00,-54.009087,-38.050678,16,5.342162,-0.28,-6.24,5,5
25/12/2006,23:58:00,-54.007904,-38.048939,16,0.391508,0.04,-6.24,4,4
26/12/2006,01:07:00,-54.008453,-38.051639,16,10.90045,0.43,-5.81,7,7
26/12/2006,01:22:00,-54.008393,-38.051689,16,10.571691,-1.09,-6.9,8,8
26/12/2006,01:37:00,-54.008488,-38.051412,16,11.986053,0.06,-6.84,7,7
26/12/2006,01:54:00,-54.008802,-38.050878,16,4.775847,0.27,-6.84,5,5
26/12/2006,03:03:00,-54.008357,-38.051352,16,10.530736,-0.38,-7.22,6,6
26/12/2006,03:18:00,-54.008487,-38.051925,16,4.922631,1.09,-6.13,7,7
26/12/2006,03:33:00,-54.008233,-38.051361,16,22.213297,0.12,-6.01,7,7
26/12/2006,03:48:00,-54.008584,-38.051159,16,4.87402,-1.03,-7.04,7,7
26/12/2006,04:03:00,-54.008373,-38.051372,16,13.813937,1.06,-5.98,8,8
26/12/2006,04:18:00,-54.008929,-38.051821,16,11.399636,-0.85,-6.83,8,8
26/12/2006,04:33:00,-54.008548,-38.051289,16,14.715887,0.06,-6.77,7,7
26/12/2006,04:48:00,-54.008127,-38.051069,16,21.336636,0.1,-6.77,5,5
26/12/2006,05:04:00,-54.009107,-38.051867,16,0.098323,-0.32,-6.77,4,4
26/12/2006,05:37:00,-54.008326,-38.053326,16,22.333148,0.3,-6.77,5,5
26/12/2006,05:52:00,-54.008402,-38.051684,16,1.485593,0.35,-6.77,4,4
26/12/2006,06:25:00,-54.00862,-38.05112,16,0.848267,0.07,-6.77,4,4
26/12/2006,06:43:00,-54.007969,-38.049908,16,0.202701,-0.13,-6.77,4,4
26/12/2006,06:58:00,-54.007894,-38.050618,16,2.816534,0.12,-6.77,5,5
26/12/2006,08:25:00,-54.008946,-38.049537,16,16.67752,0.06,-6.77,5,5
26/12/2006,08:40:00,-54.008899,-38.051581,16,6.265803,-0.85,-7.62,7,7
26/12/2006,09:49:00,-54.008162,-38.051613,16,22.13665,1.51,-6.11,8,8
26/12/2006,10:04:00,-54.008132,-38.051258,16,17.27231,-1.04,-7.15,7,7
26/12/2006,10:20:00,-54.008238,-38.051023,16,22.631575,0.7,-7.15,5,5
26/12/2006,10:35:00,-54.00834,-38.051921,16,1.43961,-0.39,-7.15,4,4
26/12/2006,10:50:00,-54.008672,-38.057492,16,0.37612,0.45,-7.15,4,4
26/12/2006,13:32:00,-54.009899,-38.051363,16,1.154636,0.71,-7.15,4,4
26/12/2006,14:05:00,-54.008259,-38.050849,16,18.75304,0.4,-6.75,7,7
26/12/2006,14:40:00,-54.008256,-38.052003,16,18.619638,-0.56,-7.31,6,6
26/12/2006,15:13:00,-54.007706,-38.055549,16,0.110888,0.5,-7.31,4,4
26/12/2006,15:28:00,-54.007801,-38.050589,16,0.274667,-0.38,-7.31,4,4
26/12/2006,16:01:00,-54.008622,-38.051447,16,13.908263,-0.64,-7.95,6,6
26/12/2006,16:16:00,-54.007957,-38.050312,16,0.229372,1.1,-7.95,4,4
26/12/2006,16:31:00,-54.007906,-38.049803,16,0.511003,1.18,-7.95,4,4
26/12/2006,16:46:00,-54.00805,-38.050718,16,11.50653,0.36,-7.95,5,5
26/12/2006,17:17:00,-54.00734,-38.051468,16,9.103563,0.88,-7.95,5,5
26/12/2006,17:32:00,-54.008841,-38.051279,16,3.153928,1.06,-6.89,6,6
26/12/2006,17:47:00,-54.008221,-38.051136,16,6.924359,-1.06,-7.95,6,6
26/12/2006,18:02:00,-54.008652,-38.050918,16,24.782372,1.08,-6.87,6,6
26/12/2006,18:17:00,-54.008188,-38.051321,16,22.445021,0.05,-6.82,7,7
26/12/2006,18:32:00,-54.00829,-38.051697,16,7.590022,-1.16,-6.82,5,5
