Date,Time,Latitude,Longitude,Altitude,Residual Error,Clock Error,Cumulative Clock Error,No Sats Used,No Sats Provided,
31/12/2006,19:05:00,-54.008123,-38.051055,16,5.434862,-1.79,2,5,5,1
31/12/2006,19:22:00,-54.00856,-38.051139,16,17.402102,-2.57,2,5,6,4
31/12/2006,19:37:00,-54.008859,-38.045202,16,0.68847,-2.1,2,4,4,5
31/12/2006,19:52:00,-54.007905,-38.051854,16,8.26779,-2.3,2,5,5,6
31/12/2006,20:07:00,-54.008806,-38.051115,16,0.709075,-2.37,2,4,4,7
31/12/2006,20:24:00,-54.008654,-38.050925,16,0.836381,-2.01,2,4,4,10
31/12/2006,20:39:00,-54.008682,-38.05127,16,0.284443,-1.73,2,4,4,11
31/12/2006,20:54:00,-54.008441,-38.052326,16,0.299402,-2.74,2,4,4,12
31/12/2006,21:09:00,-54.008844,-38.050938,16,16.879982,-1.54,2,5,5,13
31/12/2006,21:24:00,-54.008917,-38.05234,16,4.628676,-2.42,-0.42,6,6,14
31/12/2006,21:39:19,-54.0183,-38.058871,16,0.5672,0.19,-0.42,4,4,15
31/12/2006,22:14:09,-54.002802,-38.102663,16,0.927204,0.01,-0.42,4,4,22
31/12/2006,22:29:18,-53.989427,-38.108887,16,0.852424,-0.6,-0.42,4,4,23
31/12/2006,22:50:26,-53.972012,-38.128634,16,0.332737,0.86,-0.42,4,5,24
31/12/2006,23:31:22,-53.956115,-38.168849,16,4.62455,-0.71,-0.42,4,4,32
01/01/2007,00:43:16,-53.910833,-38.240876,16,22.038782,0.37,-0.05,7,7,43
01/01/2007,01:38:14,-53.873427,-38.31919,16,2.582928,0.37,-0.05,4,4,55
01/01/2007,01:57:41,-53.863783,-38.346476,16,13.939455,-0.26,-0.31,8,8,58
01/01/2007,03:27:21,-53.820943,-38.462239,16,15.439745,0.23,-0.08,7,7,75
01/01/2007,04:03:23,-54.962694,-34.160914,16,1.146783,2.11,-0.08,4,4,81
01/01/2007,04:19:01,-53.802881,-38.515471,16,8.308568,0.08,0,8,8,83
01/01/2007,04:58:37,-53.788564,-38.543276,16,0.794446,-0.2,0,4,4,91
01/01/2007,05:31:05,-53.781921,-38.573963,16,15.788053,0.31,0.31,8,8,96
01/01/2007,05:49:48,-53.775812,-38.589282,16,0.78513,-0.48,0.31,4,4,100
01/01/2007,06:27:21,-53.767233,-38.618428,16,21.435657,-0.34,-0.03,7,7,107
01/01/2007,07:04:17,-53.757711,-38.653033,16,3.525213,-0.41,-0.03,5,5,113
01/01/2007,07:19:35,-53.756075,-38.659985,16,0.267534,0.09,-0.03,4,5,114
