Date,Time,Latitude,Longitude,Altitude,Residual Error,Clock Error,Cumulative Clock Error,# Sats Used,# Sats Provided,
16/02/2007,12:24:00:288,-54.008246,-38.050741,20,1.647535,0.18,1,5,5,(rownum 3)
16/02/2007,12:38:59:712,-54.008324,-38.050908,20,0.719357,0.13,1,4,4,(rownum 4)
16/02/2007,12:54:00:0,-54.008449,-38.051594,20,10.661321,0.19,1.19,7,7,(rownum 5)
16/02/2007,13:27:00:288,-54.014527,-38.05498,20,11.794252,-0.4,1.19,5,5,(rownum 10)
16/02/2007,13:41:59:712,-54.021258,-38.066865,20,7.751687,-0.53,0.66,8,8,(rownum 11)
16/02/2007,14:12:12:384,-54.035438,-38.108574,20,8.650837,-0.08,0.58,7,7,(rownum 13)
16/02/2007,14:26:59:712,-54.041595,-38.118173,20,22.452624,0.53,0.58,5,5,(rownum 14)
16/02/2007,14:42:00:0,-54.046442,-38.131013,20,3.366408,1.16,1.74,8,8,(rownum 15)
16/02/2007,14:58:00:768,-54.05056,-38.138865,20,15.812169,-1.52,0.22,6,6,(rownum 17)
16/02/2007,15:14:10:176,-54.056631,-38.157745,20,13.519729,0.7,0.92,6,6,(rownum 19)
16/02/2007,15:29:07:8,-54.062231,-38.183817,20,18.046007,0.07,0.99,6,6,(rownum 20)
16/02/2007,15:44:19:392,-54.063963,-38.179948,20,15.650197,-0.49,0.99,5,8,(rownum 21)
16/02/2007,16:00:08:928,-54.067034,-38.178243,20,22.922367,-0.3,0.69,6,6,(rownum 23)
16/02/2007,16:16:00:192,-54.071594,-38.176795,20,26.971177,0.86,1.55,8,8,(rownum 25)
16/02/2007,16:31:04:800,-54.075637,-38.173294,20,4.254483,-0.6,0.95,6,7,(rownum 26)
16/02/2007,17:07:04:800,-54.090335,-38.17691,20,10.397811,-0.42,0.53,6,6,(rownum 33)
16/02/2007,17:22:00:768,-54.095134,-38.176325,20,12.983494,0.13,0.66,6,6,(rownum 34)
16/02/2007,17:40:04:224,-54.100896,-38.173568,20,2.173136,0.31,0.66,5,5,(rownum 38)
16/02/2007,17:55:20:64,-54.106187,-38.172385,20,21.104503,0.89,1.55,6,6,(rownum 39)
16/02/2007,18:10:09:984,-54.110388,-38.180727,20,7.751012,-0.88,0.67,7,7,(rownum 40)
16/02/2007,18:28:02:208,-54.118596,-38.186921,20,12.317848,0.06,0.67,5,5,(rownum 44)
16/02/2007,19:01:05:88,-54.123798,-38.196306,20,1.693162,0.17,0.67,4,4,(rownum 49)
16/02/2007,19:19:07:680,-54.1291,-38.198368,20,0.140247,0.22,0.67,4,4,(rownum 52)
