Date,Time,Latitude,Longitude,Altitude,Residual_Error,Clock_Error,Cumulative_Clock_Error,No Sats_Used,No Sats_Provided,
10/01/2008,14:43:00,-54.391192,-36.254979,20,5.440765,-0.25,3,5,5,1
10/01/2008,14:58:00,-54.391609,-36.250731,20,1.005134,-0.29,3,4,4,2
10/01/2008,15:13:00,-54.39222,-36.254315,20,9.88232,-0.1,3,5,5,3
10/01/2008,15:55:00,-54.392285,-36.256668,20,0.0716,0.32,3,4,4,8
10/01/2008,16:10:08,-54.390254,-36.254427,20,21.521166,-0.04,2.96,7,7,9
10/01/2008,16:46:00,-54.388505,-36.238701,20,19.395702,-0.21,2.75,8,8,13
10/01/2008,17:01:00,-54.389385,-36.239466,20,1.349953,0.64,2.75,5,5,14
10/01/2008,17:16:00,-54.389376,-36.23951,20,1.240053,0.26,2.75,5,5,15
10/01/2008,17:34:00,-54.394576,-36.239983,20,0.153252,0,2.75,4,4,17
10/01/2008,17:49:00,-54.390054,-36.238591,20,17.916843,-0.12,2.63,8,8,18
10/01/2008,18:33:00,-54.390023,-36.239185,20,4.021315,0.59,3.22,6,6,23
10/01/2008,19:03:00,-54.396376,-36.227645,20,0.668546,1,3.22,4,4,25
10/01/2008,19:18:00,-54.392123,-36.235737,20,6.269892,0.19,3.22,5,5,26
10/01/2008,19:33:00,-54.3915,-36.237198,20,7.44329,-0.3,3.22,5,5,27
10/01/2008,19:48:00,-54.388357,-36.238962,20,1.538064,0.08,3.22,4,4,28
10/01/2008,20:03:00,-54.390431,-36.238118,20,9.600813,-0.02,3.22,5,5,29
10/01/2008,20:18:00,-54.391296,-36.239047,20,0.662434,-0.35,3.22,4,4,30
10/01/2008,21:03:00,-54.38948,-36.237668,20,1.32335,-0.46,3.22,5,5,37
10/01/2008,21:18:00,-54.390175,-36.238464,20,12.484832,0.17,3.39,7,7,38
10/01/2008,21:33:00,-54.390508,-36.238511,20,10.283777,-0.31,3.08,7,7,39
10/01/2008,21:48:00,-54.390201,-36.238403,20,19.610448,-0.42,2.66,7,7,40
10/01/2008,22:03:00,-54.390934,-36.237938,20,8.934117,0.78,2.66,5,5,41
10/01/2008,22:21:00,-54.389888,-36.238715,20,4.487138,0.67,3.33,6,6,43
10/01/2008,22:36:00,-54.389905,-36.238419,20,15.199954,-0.4,3.33,5,5,44
10/01/2008,22:51:00,-54.390359,-36.237957,20,11.933276,-0.72,2.61,6,6,45
10/01/2008,23:33:00,-54.390148,-36.23856,20,15.13109,0.68,3.29,8,8,51
10/01/2008,23:48:00,-54.389861,-36.238147,20,22.010616,-0.29,3,8,8,52
11/01/2008,00:03:00,-54.390232,-36.23839,20,13.827371,-0.46,2.54,7,7,53
11/01/2008,00:18:00,-54.390236,-36.238544,20,17.189703,0.73,3.27,8,8,54
11/01/2008,00:33:00,-54.390213,-36.237902,20,11.482927,-0.3,2.97,8,8,55
11/01/2008,01:03:00,-54.389909,-36.239356,20,11.466812,0.16,3.13,8,8,57
11/01/2008,01:18:00,-54.390254,-36.237844,20,25.617972,-0.15,2.98,8,8,58
11/01/2008,01:33:00,-54.389998,-36.237699,20,16.444758,-0.5,2.48,8,8,59
11/01/2008,01:48:00,-54.389947,-36.238463,20,12.427022,0.71,3.19,8,8,60
11/01/2008,02:03:00,-54.390193,-36.238075,20,10.945483,-0.27,2.92,8,8,61
11/01/2008,02:18:00,-54.389659,-36.237516,20,10.266072,-0.43,2.49,8,8,62
11/01/2008,02:33:00,-54.390313,-36.237608,20,28.149378,0.69,3.18,8,8,63
11/01/2008,02:48:00,-54.389339,-36.236719,20,18.064904,-0.2,2.98,7,7,64
11/01/2008,03:03:00,-54.390187,-36.237751,20,24.96587,-0.53,2.45,8,8,65
11/01/2008,03:18:00,-54.391075,-36.238829,20,2.642782,0.63,2.45,5,5,66
11/01/2008,03:33:00,-54.389695,-36.237162,20,0.659534,0.49,2.45,4,4,67
11/01/2008,03:48:00,-54.390297,-36.238822,20,13.850576,-0.06,2.45,5,5,68
11/01/2008,04:03:00,-54.389905,-36.239756,20,7.534338,0.55,3,7,7,69
11/01/2008,04:18:00,-54.386531,-36.246285,20,2.466898,-0.6,3,4,4,70
11/01/2008,04:33:00,-54.390219,-36.237564,20,14.096551,-0.63,2.37,7,7,71
11/01/2008,04:48:00,-54.390223,-36.238454,20,26.596699,0.68,3.05,8,8,72
11/01/2008,05:27:00,-54.390196,-36.238516,20,20.501509,-0.76,2.29,7,7,77
11/01/2008,05:48:00,-54.390032,-36.23646,20,0.357583,0.57,2.29,4,4,80
11/01/2008,06:03:00,-54.389813,-36.237798,20,2.863534,0.08,2.29,5,5,81
11/01/2008,06:42:00,-54.390085,-36.239085,20,29.897901,0.29,2.58,6,6,86
11/01/2008,06:57:00,-54.390235,-36.239008,20,17.089331,-0.42,2.58,5,5,87
11/01/2008,07:12:00,-54.388539,-36.239539,20,0.509153,0.23,2.58,4,4,88
11/01/2008,07:27:00,-54.391192,-36.238846,20,1.358425,0.1,2.58,5,5,89
11/01/2008,07:45:00,-54.390429,-36.2385,20,29.030252,0.08,2.58,5,5,91
11/01/2008,08:00:00,-54.390991,-36.238803,20,7.939816,-0.37,2.21,6,6,92
11/01/2008,08:15:00,-54.3918,-36.240754,20,0.402405,0.77,2.21,4,4,93
11/01/2008,08:30:00,-54.3939,-36.239756,20,0.961717,0.6,2.21,4,4,94
11/01/2008,08:45:00,-54.390832,-36.239237,20,13.022506,-0.02,2.19,6,6,95
11/01/2008,09:00:00,-54.39053,-36.238106,20,8.661311,0.7,2.89,6,6,96
11/01/2008,09:15:00,-54.390604,-36.238017,20,13.589568,-0.37,2.52,6,6,97
11/01/2008,09:30:00,-54.390663,-36.238133,20,23.870461,-0.42,2.1,6,6,98
11/01/2008,09:45:00,-54.390523,-36.23876,20,2.393832,0.7,2.1,5,5,99
11/01/2008,10:00:00,-54.390861,-36.238098,20,19.799874,0.43,2.1,5,5,100
11/01/2008,10:39:00,-54.390807,-36.238286,20,3.563945,0.58,2.1,5,5,105
11/01/2008,10:54:00,-54.389764,-36.238358,20,29.880867,0.33,2.43,7,7,106
11/01/2008,11:09:00,-54.389952,-36.239482,20,26.663378,-0.51,1.92,6,6,107
11/01/2008,11:24:00,-54.389871,-36.238859,20,9.422511,0.73,2.65,6,6,108
11/01/2008,12:27:00,-54.390327,-36.240258,20,19.745391,-0.21,2.65,5,5,117
11/01/2008,14:03:00,-54.390045,-36.238412,20,2.737396,-0.41,2.24,6,6,133
11/01/2008,14:18:00,-54.390615,-36.238348,20,12.377817,-0.47,1.77,7,7,134
11/01/2008,14:33:00,-54.390835,-36.237675,20,16.039269,0.76,2.53,6,6,135
11/01/2008,14:48:00,-54.390436,-36.238327,20,15.260813,-0.31,2.22,8,8,136
11/01/2008,15:03:00,-54.39172,-36.241376,20,5.450403,-0.68,1.54,6,6,137
11/01/2008,15:18:00,-54.39073,-36.238519,20,8.842822,0.93,2.47,7,7,138
11/01/2008,15:33:00,-54.390949,-36.237741,20,21.904855,-0.31,2.16,7,7,139
11/01/2008,15:48:00,-54.390448,-36.238148,20,16.135171,-0.45,1.71,8,8,140
11/01/2008,16:03:00,-54.390846,-36.237516,20,22.820041,0.77,2.48,6,6,141
11/01/2008,16:18:00,-54.390278,-36.238447,20,15.714629,-0.36,2.12,6,6,142
11/01/2008,16:48:00,-54.390199,-36.238575,20,9.622357,0.21,2.12,5,5,144
11/01/2008,17:03:00,-54.390689,-36.238389,20,11.294066,-0.06,2.06,7,7,145
11/01/2008,17:24:00,-54.390148,-36.238832,20,20.283429,0.28,2.06,5,5,148
11/01/2008,17:39:00,-54.389506,-36.238637,20,7.898501,0.05,2.11,6,6,149
11/01/2008,17:54:00,-54.390612,-36.237933,20,7.342188,-0.51,1.6,8,8,150
11/01/2008,18:09:00,-54.39058,-36.238364,20,9.965751,0.7,2.3,7,7,151
11/01/2008,18:30:00,-54.390525,-36.238721,20,3.201628,-0.73,2.3,5,5,154
11/01/2008,18:45:00,-54.390652,-36.234497,20,5.023305,0.31,2.3,5,5,155
11/01/2008,19:24:00,-54.390526,-36.23781,20,10.590238,-0.72,1.58,6,6,160
11/01/2008,19:39:00,-54.390138,-36.238678,20,8.872084,0.64,2.22,6,6,161
11/01/2008,19:57:00,-54.39057,-36.238357,20,7.838004,-0.02,2.22,5,5,163
11/01/2008,20:12:00,-54.387043,-36.236738,20,2.168328,-0.21,2.22,4,4,164
11/01/2008,20:51:00,-54.390428,-36.238701,20,14.649134,-0.06,2.16,6,6,169
11/01/2008,21:06:00,-54.390464,-36.238007,20,24.075766,-0.32,1.84,7,7,170
11/01/2008,21:21:00,-54.390551,-36.238466,20,12.870982,-0.44,1.4,7,7,171
11/01/2008,21:36:00,-54.390769,-36.238353,20,19.494432,0.71,2.11,6,6,172
11/01/2008,21:51:00,-54.39071,-36.238613,20,8.673379,-0.32,1.79,7,7,173
11/01/2008,22:30:00,-54.390314,-36.238332,20,1.883,0.24,1.79,4,4,178
11/01/2008,22:45:00,-54.389965,-36.239096,20,5.983025,-0.14,1.65,6,6,179
11/01/2008,23:00:00,-54.390374,-36.238431,20,10.396068,-0.31,1.65,5,5,180
11/01/2008,23:15:00,-54.390193,-36.238294,20,4.084845,0.38,2.03,6,6,181
11/01/2008,23:30:00,-54.390376,-36.238071,20,26.981342,-0.33,1.7,7,7,182
