Date,Time,Latitude,Longitude,Altitude,Residual Error,Clock Error,Cumulative Clock Error,No Sats Used,No Sats Provided,
16/01/2008,15:04:00,-54.388746,-36.254281,20,23.359414,-5.1,3,5,5,0
16/01/2008,15:21:00,-54.391894,-36.254825,20,23.470717,-5.72,-2.72,6,6,2
16/01/2008,15:36:00,-54.391732,-36.254128,20,8.656482,0.73,-1.99,7,7,3
16/01/2008,15:51:00,-54.398028,-36.280229,20,0.376837,-2.7,-1.99,4,4,4
16/01/2008,16:06:00,-54.392668,-36.25411,20,10.431881,-0.8,-1.99,5,5,5
16/01/2008,16:15:00,-54.392493,-36.254078,20,18.273307,-0.66,-2.65,7,7,7
16/01/2008,16:30:00,-54.391738,-36.255959,20,0.314686,0.99,-2.65,4,4,8
16/01/2008,16:45:00,-54.392104,-36.253803,20,13.718114,0.21,-2.44,7,7,9
16/01/2008,17:02:00,-54.391735,-36.253397,20,21.412692,-0.08,-2.52,7,7,11
16/01/2008,17:19:00,-54.391331,-36.253388,20,17.554433,0.25,-2.52,5,5,13
16/01/2008,17:34:00,-54.391866,-36.25372,20,16.769311,0.18,-2.34,8,8,14
16/01/2008,17:49:00,-54.391892,-36.254569,20,19.214907,-0.92,-3.26,7,7,15
16/01/2008,18:04:00,-54.392156,-36.254343,20,24.763305,1.22,-2.04,8,8,16
16/01/2008,18:20:00,-54.391925,-36.254462,20,22.35129,0.06,-1.98,8,8,17
16/01/2008,18:37:00,-54.391755,-36.253616,20,19.93178,-0.49,-1.98,5,5,19
16/01/2008,18:52:00,-54.396904,-36.224704,20,1.108397,0.35,-1.98,4,4,20
16/01/2008,20:39:00,-54.391706,-36.254433,20,19.584653,-0.33,-2.31,6,6,41
16/01/2008,20:54:00,-54.391751,-36.254348,20,12.134203,-0.42,-2.73,6,6,42
16/01/2008,21:09:00,-54.391517,-36.254214,20,21.704602,0.67,-2.06,6,6,43
16/01/2008,21:24:00,-54.392018,-36.254184,20,18.85672,-0.29,-2.06,5,5,44
16/01/2008,21:39:00,-54.391447,-36.254722,20,14.42169,-0.76,-2.06,5,5,45
16/01/2008,21:54:00,-54.39114,-36.255122,20,15.163708,-0.1,-2.06,5,5,46
16/01/2008,22:11:00,-54.38852,-36.257584,20,1.336247,-0.7,-2.06,4,4,48
16/01/2008,22:26:00,-54.391793,-36.254227,20,14.483991,-0.87,-2.93,6,6,49
16/01/2008,22:41:00,-54.391723,-36.253874,20,14.728036,0.7,-2.23,7,7,50
16/01/2008,22:56:00,-54.391836,-36.254929,20,14.182925,-0.34,-2.57,6,6,51
16/01/2008,23:13:00,-54.391736,-36.254082,20,11.404006,-0.46,-3.03,7,7,53
16/01/2008,23:28:00,-54.391693,-36.254991,20,6.904601,0.71,-3.03,5,7,54
17/01/2008,03:33:00,-54.391207,-36.25401,20,13.919409,0.35,-2.68,7,8,105
17/01/2008,03:48:00,-54.391556,-36.25386,20,6.985354,-0.41,-3.09,7,8,106
17/01/2008,04:03:00,-54.391582,-36.253585,20,20.225855,0.71,-2.38,7,8,107
17/01/2008,04:18:00,-54.392562,-36.252431,20,1.690852,-0.23,-2.38,4,5,108
17/01/2008,04:33:00,-54.391903,-36.253192,20,17.068136,-0.69,-3.07,8,8,109
17/01/2008,04:48:00,-54.392015,-36.253214,20,13.709819,0.76,-2.31,7,8,110
17/01/2008,05:03:00,-54.392025,-36.25303,20,14.788816,-0.39,-2.7,7,8,111
17/01/2008,05:18:00,-54.391729,-36.253474,20,24.528664,-0.37,-3.07,6,6,112
17/01/2008,05:33:00,-54.39219,-36.253021,20,22.375382,0.65,-2.42,8,8,113
17/01/2008,05:48:00,-54.392493,-36.253242,20,16.775015,-0.25,-2.42,5,5,114
17/01/2008,06:03:00,-54.39258,-36.253125,20,21.946406,-0.7,-2.42,5,5,115
17/01/2008,06:41:00,-54.392062,-36.253759,20,16.690635,-0.86,-3.28,6,6,121
17/01/2008,06:56:00,-54.392278,-36.253343,20,0.609842,0.64,-3.28,4,4,122
17/01/2008,07:15:00,-54.392695,-36.253119,20,0.890165,0.09,-3.28,4,4,125
17/01/2008,07:30:00,-54.392574,-36.253355,20,24.263372,0.84,-3.28,5,5,126
17/01/2008,07:45:00,-54.39229,-36.252979,20,17.103734,0.53,-3.28,5,5,127
17/01/2008,08:00:00,-54.392109,-36.253643,20,5.187595,0.09,-3.28,5,5,128
17/01/2008,08:15:00,-54.391846,-36.2528,20,16.205328,0.74,-2.54,6,6,129
17/01/2008,08:30:00,-54.392213,-36.253389,20,4.127053,-0.27,-2.81,6,7,130
17/01/2008,08:45:00,-54.392747,-36.253454,20,16.573126,-0.41,-2.81,5,5,131
17/01/2008,09:50:00,-54.390837,-36.253739,20,3.776089,-0.66,-2.81,5,5,144
17/01/2008,10:05:13,-54.391459,-36.254757,20,28.240325,-0.38,-2.81,5,5,145
17/01/2008,10:20:03,-54.386188,-36.24379,20,18.486315,-1.18,-3.99,7,7,146
17/01/2008,10:35:01,-54.379516,-36.225832,20,18.782774,0.58,-3.41,8,8,147
17/01/2008,10:50:06,-54.371807,-36.205253,20,0.398533,0.96,-3.41,4,4,148
17/01/2008,11:07:05,-54.362381,-36.185568,20,18.11146,0.37,-3.04,7,7,150
17/01/2008,11:22:05,-54.35847,-36.175254,20,18.010201,0.5,-2.54,8,8,151
17/01/2008,12:04:03,-54.33438,-36.110056,20,21.681512,-1.28,-3.82,6,7,159
17/01/2008,12:27:07,-54.322783,-36.089058,20,13.054221,-0.14,-3.82,5,5,164
17/01/2008,12:59:12,-54.298791,-36.063432,20,9.050562,0.5,-3.82,5,5,167
17/01/2008,13:14:02,-54.285076,-36.057136,20,8.424936,0.03,-3.82,5,5,168
17/01/2008,13:31:02,-54.26981,-36.0458,20,19.080542,0.84,-2.98,8,8,170
17/01/2008,13:46:11,-54.256424,-36.037453,20,11.60891,-0.38,-3.36,8,8,171
17/01/2008,14:03:03,-54.242463,-36.023208,20,12.387674,0.15,-3.36,5,5,173
17/01/2008,14:18:13,-54.23099,-36.01025,20,17.947868,-0.12,-3.48,8,8,174
17/01/2008,14:37:04,-54.216289,-35.995372,20,5.738599,0.29,-3.19,6,6,177
17/01/2008,14:52:07,-54.204561,-35.987756,20,3.288615,-0.77,-3.19,5,5,178
17/01/2008,15:09:02,-54.196081,-35.97217,20,16.292904,-0.54,-3.73,7,7,180
17/01/2008,15:24:06,-54.188247,-35.961687,20,9.183892,0.33,-3.73,5,5,181
17/01/2008,15:46:03,-54.174608,-35.954667,20,28.340785,0.56,-3.17,8,8,185
17/01/2008,16:06:01,-54.170253,-35.945742,20,21.637619,0.21,-2.96,8,8,188
17/01/2008,16:30:03,-54.167392,-35.945678,20,16.031672,-0.81,-3.77,8,8,193
17/01/2008,16:47:03,-54.164017,-35.940222,20,16.104243,0.27,-3.5,7,7,195
17/01/2008,17:06:08,-54.157786,-35.924155,20,7.756878,-0.55,-3.5,5,5,198
17/01/2008,17:23:05,-54.151068,-35.913048,20,10.947664,-0.26,-3.76,6,6,200
17/01/2008,17:46:53,-54.143513,-35.899199,20,4.693684,0.5,-3.76,5,5,205
17/01/2008,18:01:02,-54.139156,-35.8892,20,22.516213,0.71,-3.05,6,6,206
17/01/2008,18:16:00,-54.135412,-35.877808,20,16.187367,-0.5,-3.55,6,6,207
17/01/2008,18:31:05,-54.128314,-35.86289,20,22.313704,0.73,-2.82,7,7,208
17/01/2008,18:48:05,-54.122579,-35.847425,20,29.831644,-1.18,-2.82,5,5,210
17/01/2008,19:09:00,-54.116587,-35.839058,20,0.201513,-0.35,-2.82,4,4,214
17/01/2008,19:45:00,-54.112103,-35.819476,20,20.135547,-0.64,-3.46,6,7,219
17/01/2008,20:27:15,-54.110049,-35.799746,20,22.957347,0.42,-3.04,6,6,226
17/01/2008,20:42:03,-54.109585,-35.794878,20,0.905048,-0.29,-3.04,4,4,227
17/01/2008,20:57:09,-54.108911,-35.790302,20,4.193659,-0.71,-3.75,6,6,228
17/01/2008,21:12:07,-54.104643,-35.782334,20,17.754062,0.21,-3.75,5,5,229
17/01/2008,21:27:01,-54.10525,-35.777817,20,7.901884,-0.22,-3.97,7,7,230
17/01/2008,21:42:05,-54.097604,-35.766849,20,0.819669,-0.12,-3.97,4,4,231
17/01/2008,21:57:06,-54.095565,-35.758731,20,11.099901,0.23,-3.74,7,7,232
17/01/2008,22:12:00,-54.09226,-35.750881,20,0.591891,0.74,-3.74,4,4,233
17/01/2008,22:35:04,-54.087416,-35.738612,20,20.80314,0.37,-3.37,6,7,238
17/01/2008,22:58:06,-54.081608,-35.721431,20,14.55225,0.09,-3.28,8,8,243
17/01/2008,23:15:01,-54.073175,-35.704492,20,20.610858,-0.84,-4.12,8,8,245
17/01/2008,23:30:04,-54.069568,-35.700215,20,17.46606,-0.03,-4.15,7,7,246
17/01/2008,23:47:04,-54.061541,-35.678752,20,7.463794,0.94,-4.15,5,5,248
18/01/2008,00:04:04,-54.048767,-35.605904,20,12.28188,4.98,-4.15,4,4,250
18/01/2008,00:19:08,-54.049941,-35.646455,20,7.63672,0.83,-4.15,5,5,251
18/01/2008,00:34:34,-54.044694,-35.63118,20,0.190911,0.21,-4.15,4,4,252
18/01/2008,00:51:00,-54.038496,-35.618311,20,25.267512,0.86,-3.29,8,8,254
18/01/2008,01:09:50,-54.034346,-35.613041,20,0.603466,-0.22,-3.29,4,4,256
18/01/2008,01:24:02,-54.039637,-35.613354,20,0.423628,-0.11,-3.29,4,4,257
18/01/2008,01:42:09,-54.035197,-35.600085,20,20.040639,0.05,-3.29,5,5,259
18/01/2008,02:29:04,-54.027911,-35.578009,20,1.110147,0.12,-3.29,4,4,269
18/01/2008,02:52:00,-54.021599,-35.556173,20,16.496495,-0.22,-3.51,7,7,274
18/01/2008,03:36:00,-54.015917,-35.541708,20,15.515263,0.13,-3.38,8,8,283
18/01/2008,03:52:05,-54.016093,-35.542714,20,1.347523,0.65,-3.38,4,5,284
18/01/2008,04:13:52,-54.014895,-35.542421,20,17.298942,-0.39,-3.38,5,5,288
18/01/2008,04:32:02,-54.012603,-35.536242,20,21.07547,-0.88,-4.26,8,8,291
18/01/2008,04:49:01,-54.012004,-35.519523,20,16.975713,0.43,-3.83,7,7,293
