Date,Time,Latitude,Longitude,Altitude,Residual Error,Clock Error,Cumulative Clock Error,No Sats Used,No Sats Provided,Duplicates,Notes
31/12/2009,15:16:00,-54.245991,-36.495763,0,0.252304,-0.5,-15.92,4,4,0,
31/12/2009,13:13:00,-54.244845,-36.492707,0,7.138657,-0.17,-15.92,6,7,0,
31/12/2009,12:13:00,-54.245143,-36.491825,0,0.907037,-0.04,-15.75,4,4,0,
31/12/2009,11:13:00,-54.244886,-36.492541,0,4.895135,-0.05,-15.75,6,6,0,
31/12/2009,10:13:00,-54.244711,-36.492908,0,0.841125,0,-15.7,4,4,0,
31/12/2009,09:13:00,-54.244636,-36.49291,0,18.169653,-0.06,-15.7,6,6,0,
31/12/2009,08:13:00,-54.245377,-36.492156,0,1.37495,0.02,-15.64,5,5,0,
31/12/2009,07:13:00,-54.244841,-36.492772,0,7.242247,-0.02,-15.64,7,7,0,
31/12/2009,06:13:00,-54.244901,-36.492838,0,10.445255,-0.03,-15.62,7,7,0,
31/12/2009,05:13:00,-54.244962,-36.492763,0,7.037499,-0.12,-15.59,8,8,0,
31/12/2009,04:13:00,-54.24437,-36.494476,0,0.032842,-0.19,-15.47,4,4,0,
31/12/2009,03:10:00,-54.244947,-36.493429,0,5.217224,-0.14,-15.47,5,5,0,
31/12/2009,02:09:00,-54.24475,-36.491954,0,7.648232,0.03,-15.47,6,7,0,
31/12/2009,01:09:00,-54.244753,-36.492535,0,6.497838,-0.03,-15.5,7,8,0,
31/12/2009,00:09:00,-54.245056,-36.492847,0,4.637219,-0.1,-15.47,7,8,0,
30/12/2009,23:09:00,-54.242905,-36.484412,0,0.769029,0.34,-15.37,4,4,0,
30/12/2009,22:08:00,-54.245198,-36.492805,0,13.936494,-0.07,-15.37,6,7,0,
30/12/2009,21:08:00,-54.245057,-36.492469,0,2.666292,-0.05,-15.3,6,6,0,
30/12/2009,20:08:00,-54.245103,-36.492833,0,9.98918,-0.24,-15.25,6,6,0,
30/12/2009,19:08:00,-54.240991,-36.491952,0,0.302615,0.02,-15.01,4,4,0,
