Date,Time,Latitude,Longitude,Logger ID,Deployment,Altitude,R-Err,C-Err,Total C-Err,No satellites used,No satellites used,Duplicates,Notes
20/12/2009,00:08:00,-54.088562,-37.658605,SFL00000415,WH9,0,4.274139,1.64,3.93,4,4,0,
20/12/2009,01:07:59,-54.105039,-37.665517,SFL00000415,WH9,0,0.179881,0.55,3.93,4,4,0,
20/12/2009,02:08:59,-54.104238,-37.667305,SFL00000415,WH9,0,0.927516,0.75,3.93,4,4,0,
20/12/2009,06:20:59,-54.104285,-37.662782,SFL00000415,WH9,0,0.300058,0.9,3.93,4,4,0,
20/12/2009,13:45:00,-54.104909,-37.666175,SFL00000415,WH9,0,5.385202,3.93,3.93,6,7,0,
20/12/2009,14:44:59,-54.104658,-37.666177,SFL00000415,WH9,0,14.182525,0.97,4.9,7,8,0,
20/12/2009,15:45:00,-54.104505,-37.666296,SFL00000415,WH9,0,12.369767,-1.01,3.89,7,8,0,
20/12/2009,16:45:00,-54.10455,-37.666563,SFL00000415,WH9,0,9.318008,-0.01,3.88,7,8,0,
20/12/2009,17:44:59,-54.104774,-37.666467,SFL00000415,WH9,0,1.170752,1.02,3.88,5,6,0,
20/12/2009,18:45:00,-54.104448,-37.666518,SFL00000415,WH9,0,2.903379,-0.03,3.85,8,8,0,
20/12/2009,19:45:00,-54.104725,-37.666185,SFL00000415,WH9,0,4.120242,0.03,3.85,5,5,0,
20/12/2009,20:44:59,-54.10446,-37.66614,SFL00000415,WH9,0,10.551087,1.01,4.86,7,7,0,
20/12/2009,21:45:00,-54.104658,-37.666435,SFL00000415,WH9,0,1.784356,-1.02,4.86,5,5,0,
20/12/2009,22:45:00,-54.104904,-37.666765,SFL00000415,WH9,0,11.032671,-1.01,3.85,6,6,0,
20/12/2009,23:44:59,-54.104354,-37.666294,SFL00000415,WH9,0,0.715314,0.98,3.85,4,4,0,
21/12/2009,00:45:00,-54.104534,-37.665961,SFL00000415,WH9,0,19.712171,0.04,3.89,6,8,0,
21/12/2009,01:45:00,-54.106198,-37.667171,SFL00000415,WH9,0,0.341555,-0.15,3.89,4,6,0,
21/12/2009,02:44:59,-54.105638,-37.668022,SFL00000415,WH9,0,7.129159,0.86,3.89,5,7,0,
21/12/2009,03:45:00,-54.104627,-37.665999,SFL00000415,WH9,0,1.585558,-0.01,3.88,6,7,0,
21/12/2009,05:48:59,-54.104815,-37.666769,SFL00000415,WH9,0,3.5951,0.97,4.85,8,8,0,
21/12/2009,06:49:00,-54.104533,-37.666366,SFL00000415,WH9,0,11.390718,-0.98,3.87,8,8,0,
21/12/2009,07:48:59,-54.104547,-37.666312,SFL00000415,WH9,0,8.925019,1.04,4.91,8,8,0,
21/12/2009,08:48:59,-54.104755,-37.666327,SFL00000415,WH9,0,10.43991,-0.04,4.87,6,6,0,
21/12/2009,09:49:00,-54.104976,-37.666549,SFL00000415,WH9,0,4.562864,-0.96,4.87,5,5,0,
21/12/2009,10:48:59,-54.10414,-37.666235,SFL00000415,WH9,0,0.262506,0.01,4.87,4,4,0,
21/12/2009,11:48:59,-54.104413,-37.666598,SFL00000415,WH9,0,8.940883,-0.03,4.87,5,5,0,
21/12/2009,12:49:00,-54.104526,-37.66604,SFL00000415,WH9,0,8.294109,-0.99,3.88,6,7,0,
21/12/2009,13:48:59,-54.104604,-37.666383,SFL00000415,WH9,0,8.500382,0.94,4.82,7,8,0,
21/12/2009,14:48:59,-54.104589,-37.666093,SFL00000415,WH9,0,7.997798,0.03,4.85,7,8,0,
21/12/2009,15:49:00,-54.104577,-37.666136,SFL00000415,WH9,0,3.805353,-1.01,3.84,6,8,0,
21/12/2009,16:48:59,-54.104541,-37.666226,SFL00000415,WH9,0,0.968256,1,3.84,5,5,0,
21/12/2009,17:48:59,-54.104616,-37.664988,SFL00000415,WH9,0,0.150956,1.11,3.84,4,5,0,
21/12/2009,18:49:00,-54.104371,-37.666752,SFL00000415,WH9,0,0.914476,-0.06,3.84,4,4,0,
21/12/2009,19:48:59,-54.104566,-37.666293,SFL00000415,WH9,0,8.579296,0.98,4.82,7,7,0,
21/12/2009,20:48:59,-54.104733,-37.666421,SFL00000415,WH9,0,7.78316,-0.02,4.8,7,7,0,
21/12/2009,21:49:00,-54.104736,-37.666281,SFL00000415,WH9,0,22.295105,-1,3.8,6,6,0,
21/12/2009,22:50:00,-54.104707,-37.666362,SFL00000415,WH9,0,8.667246,-0.01,3.79,7,8,0,
21/12/2009,23:50:00,-54.104504,-37.666276,SFL00000415,WH9,0,0.184052,0.01,3.79,4,5,0,
22/12/2009,00:49:59,-54.104568,-37.666554,SFL00000415,WH9,0,11.973203,1.03,4.82,7,8,0,
22/12/2009,01:50:00,-54.104505,-37.666167,SFL00000415,WH9,0,8.861275,-0.99,3.83,6,8,0,
22/12/2009,02:50:00,-54.104119,-37.664047,SFL00000415,WH9,0,0.517429,0.23,3.83,4,6,0,
22/12/2009,03:49:59,-54.104564,-37.666343,SFL00000415,WH9,0,13.296665,1.06,4.89,7,8,0,
22/12/2009,04:50:00,-54.103853,-37.665759,SFL00000415,WH9,0,1.162459,-0.97,4.89,4,4,0,
