Date,Time,Latitude,Longitude,Logger ID,Deployment,Altitude,R-Err,C-Err,Total C-Err,No satellites used,No satellites available,Duplicates,Notes
26/12/2010,16:17:00,-54.252296,-36.490559,SFL00000423,AFSMai. 22,0,13.810492,1.79,-9.59,4,4,0,
26/12/2010,16:23:00,-54.252569,-36.49084,SFL00000423,AFSMai. 22,0,1.072871,1.22,-9.59,4,4,0,
26/12/2010,16:28:00,-54.251635,-36.490803,SFL00000423,AFSMai. 22,0,0.115063,1.62,-9.59,4,4,0,
26/12/2010,16:34:00,-54.250117,-36.500424,SFL00000423,AFSMai. 22,0,0.28121,0.46,-9.59,4,4,0,
26/12/2010,16:39:00,-54.257315,-36.479401,SFL00000423,AFSMai. 22,0,0.401128,0.52,-9.59,4,4,0,
26/12/2010,16:44:00,-54.25195,-36.492099,SFL00000423,AFSMai. 22,0,0.338559,1.13,-9.59,4,4,0,
26/12/2010,16:49:00,-54.252927,-36.491345,SFL00000423,AFSMai. 22,0,0.265937,1.15,-9.59,4,4,0,
26/12/2010,16:56:00,-54.252717,-36.492061,SFL00000423,AFSMai. 22,0,0.189169,1.04,-9.59,4,4,0,
26/12/2010,17:10:00,-54.251703,-36.491647,SFL00000423,AFSMai. 22,0,16.505526,1.04,-8.55,7,7,0,
26/12/2010,17:15:00,-54.251654,-36.491952,SFL00000423,AFSMai. 22,0,0.380765,-0.04,-8.55,4,4,0,
26/12/2010,17:22:00,-54.250918,-36.493048,SFL00000423,AFSMai. 22,0,8.314754,0.04,-8.51,6,6,0,
26/12/2010,17:30:00,-54.250785,-36.493744,SFL00000423,AFSMai. 22,0,1.004109,-0.06,-8.51,4,4,0,
26/12/2010,17:35:00,-54.250873,-36.493478,SFL00000423,AFSMai. 22,0,0.677288,-0.06,-8.51,4,4,0,
26/12/2010,17:40:00,-54.251645,-36.491268,SFL00000423,AFSMai. 22,0,17.760148,-0.07,-8.58,6,6,0,
26/12/2010,17:45:00,-54.251775,-36.491945,SFL00000423,AFSMai. 22,0,6.385886,-0.04,-8.58,5,5,0,
26/12/2010,17:50:00,-54.252127,-36.491427,SFL00000423,AFSMai. 22,0,10.327656,-0.03,-8.58,5,5,0,
26/12/2010,17:55:00,-54.252089,-36.491898,SFL00000423,AFSMai. 22,0,12.050809,-0.04,-8.62,6,6,0,
26/12/2010,18:00:00,-54.252422,-36.491291,SFL00000423,AFSMai. 22,0,1.241394,0,-8.62,5,5,0,
