Date,Time,No of satellites used,Latitude,Longitude,Altitude,Clock offset,Accuracy indicator,Battery voltage
06/01/2012,11:27:37,4,-54.00857,-38.050613,0,9999.999,8.3992E-08,4.1
06/01/2012,11:32:37,1,0,0,0,9999.999,9999.999,4.1
06/01/2012,11:37:37,1,0,0,0,9999.999,9999.999,4.1
06/01/2012,11:42:37,1,0,0,0,9999.999,9999.999,4.1
06/01/2012,11:47:37,0,0,0,0,9999.999,9999.999,4.1
06/01/2012,11:52:37,0,0,0,0,9999.999,9999.999,4.1
06/01/2012,11:57:37,1,0,0,0,9999.999,9999.999,4.1
06/01/2012,12:02:37,2,0,0,0,9999.999,9999.999,4.1
06/01/2012,12:07:37,0,0,0,0,9999.999,9999.999,4.1
06/01/2012,12:12:37,5,-54.008201,-38.04747,23,-4.595,4.79266E-06,4.1
06/01/2012,12:17:37,3,0,0,0,9999.999,9999.999,4.1
06/01/2012,12:22:37,4,-54.008811,-38.051131,23,9999.999,1.0233E-06,4.1
06/01/2012,12:27:37,5,-54.00866,-38.050741,46,-4.91,4.21501E-06,4.1
06/01/2012,12:32:37,2,0,0,0,9999.999,9999.999,4.1
06/01/2012,12:37:37,7,-54.008686,-38.051491,-11,-5.08,4.1647E-06,4.1
06/01/2012,12:42:37,6,-54.008765,-38.052124,-49,9999.999,2.34771E-06,4.1
06/01/2012,12:47:36,6,-54.008454,-38.050169,38,-5.975,7.41569E-06,4.1
06/01/2012,12:52:37,4,-54.00876,-38.051422,-11,9999.999,4.71163E-07,4.1
06/01/2012,12:57:36,5,-54.008704,-38.051705,-25,-4.99,7.9662E-08,4.1
06/01/2012,13:02:36,5,-54.008824,-38.050651,88,9999.999,4.44695E-06,4.1
06/01/2012,13:07:36,5,-54.008642,-38.051612,-11,-5.03,1.29689E-06,4.1
06/01/2012,13:12:36,0,0,0,0,9999.999,9999.999,4.1
06/01/2012,13:17:36,5,-54.009556,-38.051563,32,9999.999,1.02511E-06,4.1
06/01/2012,13:22:36,4,-54.007641,-38.049552,-11,-6.15,4.1554E-07,4.1
06/01/2012,13:27:35,2,0,0,0,9999.999,9999.999,4.1
06/01/2012,13:32:35,1,0,0,0,9999.999,9999.999,4.1
06/01/2012,13:37:35,0,0,0,0,9999.999,9999.999,4.1
06/01/2012,13:42:35,3,0,0,0,9999.999,9999.999,4.1
06/01/2012,13:47:35,0,0,0,0,9999.999,9999.999,4.1
06/01/2012,13:52:35,2,0,0,0,9999.999,9999.999,4.1
06/01/2012,13:57:36,6,-54.008643,-38.051059,-41,9999.999,1.37478E-06,4.1
06/01/2012,14:02:35,1,0,0,0,9999.999,9999.999,4.1
06/01/2012,14:07:35,3,0,0,0,9999.999,9999.999,4.1
06/01/2012,14:12:36,5,-54.008391,-38.051301,4,-6.2,1.685E-06,4.1
06/01/2012,14:17:36,4,-54.008413,-38.051049,4,-6.285,1.29366E-06,4.1
06/01/2012,14:22:35,3,0,0,0,9999.999,9999.999,4.1
06/01/2012,14:27:36,5,-54.008492,-38.050955,-55,-6.305,1.46146E-06,4.08
06/01/2012,14:32:35,2,0,0,0,9999.999,9999.999,4.08
06/01/2012,14:37:35,3,0,0,0,9999.999,9999.999,4.08
06/01/2012,14:42:35,3,0,0,0,9999.999,9999.999,4.08
06/01/2012,14:47:36,4,-54.008742,-38.050917,-55,-6.29,5.94117E-07,4.08
06/01/2012,14:52:36,4,-54.008765,-38.051119,-55,-6.305,6.75021E-07,4.08
06/01/2012,14:57:35,3,0,0,0,9999.999,9999.999,4.08
06/01/2012,15:02:35,3,0,0,0,9999.999,9999.999,4.08
06/01/2012,15:07:36,4,-54.008496,-38.05339,-55,-6.36,1.71606E-06,4.08
06/01/2012,15:12:36,5,-54.00872,-38.051402,2,-6.43,2.72587E-07,4.08
06/01/2012,15:17:35,0,0,0,0,9999.999,9999.999,4.08
06/01/2012,15:22:35,0,0,0,0,9999.999,9999.999,4.08
06/01/2012,15:27:35,0,0,0,0,9999.999,9999.999,4.08
06/01/2012,15:32:35,0,0,0,0,9999.999,9999.999,4.08
06/01/2012,15:37:35,0,0,0,0,9999.999,9999.999,4.08
06/01/2012,15:42:35,0,0,0,0,9999.999,9999.999,4.08
06/01/2012,15:47:35,0,0,0,0,9999.999,9999.999,4.1
06/01/2012,15:52:35,0,0,0,0,9999.999,9999.999,4.1
06/01/2012,15:57:35,0,0,0,0,9999.999,9999.999,4.08
06/01/2012,16:02:35,0,0,0,0,9999.999,9999.999,4.08
06/01/2012,16:07:35,2,0,0,0,9999.999,9999.999,4.08
06/01/2012,16:12:35,0,0,0,0,9999.999,9999.999,4.08
06/01/2012,16:17:35,1,0,0,0,9999.999,9999.999,4.08
06/01/2012,16:22:35,0,0,0,0,9999.999,9999.999,4.08
06/01/2012,16:27:35,0,0,0,0,9999.999,9999.999,4.1
06/01/2012,16:32:35,3,0,0,0,9999.999,9999.999,4.08
06/01/2012,16:37:36,4,-54.008584,-38.051336,2,-6.595,1.03458E-06,4.08
06/01/2012,16:42:35,1,0,0,0,9999.999,9999.999,4.08
06/01/2012,16:47:35,0,0,0,0,9999.999,9999.999,4.08
06/01/2012,16:52:35,0,0,0,0,9999.999,9999.999,4.08
06/01/2012,16:57:35,3,0,0,0,9999.999,9999.999,4.08
06/01/2012,17:02:36,4,-54.008991,-38.051976,2,9999.999,4.84572E-07,4.08
06/01/2012,17:07:36,4,-54.009041,-38.053053,2,-5.825,2.11982E-07,4.1
06/01/2012,17:12:36,2,0,0,0,9999.999,9999.999,4.1
