Date,Time,No of satellites used,Latitude,Longitude,Altitude,Clock offset,Accuracy indicator,Battery indicator
11/01/2012,16:05:13,0,0,0,0,9999.999,9999.999,4.1
11/01/2012,16:10:13,2,0,0,0,9999.999,9999.999,4.1
11/01/2012,16:15:13,2,0,0,0,9999.999,9999.999,4.1
11/01/2012,16:20:13,5,-54.008178,-38.051339,16,9999.999,5.10353E-07,4.1
11/01/2012,16:25:13,3,0,0,0,9999.999,9999.999,4.1
11/01/2012,16:30:13,5,-54.008247,-38.052611,-29,-6.38,2.15575E-07,4.1
11/01/2012,16:35:13,5,-54.008053,-38.051331,-37,9999.999,1.04821E-06,4.1
11/01/2012,16:40:13,4,-54.007899,-38.051298,-29,-7.405,1.2309E-06,4.1
11/01/2012,16:45:13,5,-54.007858,-38.051775,19,9999.999,5.3138E-07,4.1
11/01/2012,16:50:13,5,-54.008035,-38.05183,72,-7.445,1.57254E-07,4.1
11/01/2012,16:55:13,4,-54.007315,-38.052047,72,-7.475,1.15815E-06,4.1
11/01/2012,17:00:13,4,-54.009634,-38.051234,72,-7.57,9.51624E-07,4.1
11/01/2012,17:05:13,5,-54.008392,-38.051333,62,9999.999,4.69888E-07,4.1
11/01/2012,17:10:13,6,-54.008038,-38.051663,-13,-6.505,4.26369E-06,4.1
11/01/2012,16:05:13,0,0,0,0,9999.999,9999.999,4.1
11/01/2012,16:10:13,2,0,0,0,9999.999,9999.999,4.1
11/01/2012,16:15:13,2,0,0,0,9999.999,9999.999,4.1
11/01/2012,16:20:13,5,-54.008174,-38.051354,12,9999.999,1.38459E-06,4.1
11/01/2012,16:25:13,3,0,0,0,9999.999,9999.999,4.1
11/01/2012,16:30:13,5,-54.008268,-38.05269,-28,-6.38,1.34434E-06,4.1
11/01/2012,16:35:13,5,-54.008051,-38.051334,-37,9999.999,1.05902E-06,4.1
11/01/2012,16:40:13,4,-54.007895,-38.051298,-28,-7.405,1.34861E-06,4.1
11/01/2012,16:45:13,5,-54.007859,-38.051773,19,9999.999,5.35076E-07,4.1
11/01/2012,16:50:13,5,-54.008034,-38.051827,71,-7.445,2.05235E-07,4.1
11/01/2012,16:55:13,4,-54.007318,-38.052041,71,-7.475,1.2348E-06,4.1
11/01/2012,17:00:13,4,-54.009637,-38.051227,71,-7.57,9.68756E-07,4.08
11/01/2012,17:05:13,5,-54.008412,-38.051325,66,9999.999,4.86828E-07,4.1
11/01/2012,17:10:13,6,-54.008025,-38.05165,-13,-6.505,4.25228E-06,4.08
11/01/2012,17:15:13,4,-54.008731,-38.052164,71,9999.999,5.73075E-07,4.08
11/01/2012,17:20:13,3,0,0,0,9999.999,9999.999,4.1
11/01/2012,17:25:13,3,0,0,0,9999.999,9999.999,4.1
11/01/2012,17:30:13,2,0,0,0,9999.999,9999.999,4.1
11/01/2012,17:35:13,3,0,0,0,9999.999,9999.999,4.1
11/01/2012,17:40:13,5,-54.008596,-38.050372,141,-6.595,7.75622E-07,4.08
11/01/2012,17:45:13,3,0,0,0,9999.999,9999.999,4.1
11/01/2012,17:50:13,4,-54.008267,-38.052204,141,-6.765,2.85608E-07,4.1
11/01/2012,17:55:13,6,-54.008157,-38.051119,52,-6.85,1.93667E-06,4.1
11/01/2012,18:00:13,6,-54.008311,-38.051593,21,-6.7,8.05813E-06,4.08
11/01/2012,18:05:13,7,-54.008322,-38.051061,52,-6.595,8.69016E-06,4.08
11/01/2012,18:10:13,5,-54.008067,-38.051611,127,-6.63,5.4218E-07,4.08
