Date,Time,No of satellites,Latitude,Longitude,Altitude,Clock offset,Accuracy indicator,Battery voltage
21/02/2012,14:32:59,2,0,0,0,9999.999,9999.999,4.1
21/02/2012,14:37:59,2,0,0,0,9999.999,9999.999,4.1
21/02/2012,14:42:59,6,-54.008251,-38.051547,22,9999.999,1.95811E-06,4.1
21/02/2012,14:47:59,3,0,0,0,9999.999,9999.999,4.1
21/02/2012,14:52:59,5,-54.008449,-38.051187,28,2.915,5.06242E-07,4.1
21/02/2012,14:57:58,3,0,0,0,9999.999,9999.999,4.1
21/02/2012,15:02:58,1,0,0,0,9999.999,9999.999,4.1
21/02/2012,15:07:59,6,-54.008288,-38.050652,-18,9999.999,6.61476E-06,4.1
21/02/2012,15:12:58,3,0,0,0,9999.999,9999.999,4.1
21/02/2012,15:17:59,6,-54.008943,-38.05182,62,2.83,4.79774E-06,4.1
21/02/2012,15:22:59,5,-54.009143,-38.051942,72,2.775,5.15274E-07,4.1
21/02/2012,15:27:59,5,-54.009301,-38.052116,-4,2.78,7.21968E-07,4.1
21/02/2012,15:35:26,6,-54.009689,-38.052598,36,9999.999,1.38528E-06,4.1
21/02/2012,15:40:35,6,-54.009517,-38.052813,69,3.505,6.09149E-07,4.1
21/02/2012,15:45:59,0,0,0,0,9999.999,9999.999,4.1
21/02/2012,15:52:16,6,-54.010367,-38.053815,45,9999.999,2.01693E-06,4.1
21/02/2012,15:57:15,5,-54.009713,-38.054857,95,9999.999,1.3845E-06,4.1
21/02/2012,16:02:15,8,-54.009558,-38.054968,50,2.685,1.55892E-05,4.1
21/02/2012,16:07:15,6,-54.009461,-38.055197,56,9999.999,8.47596E-06,4.1
21/02/2012,16:12:15,7,-54.00933,-38.054955,-36,2.655,1.4091E-05,4.1
21/02/2012,16:17:15,6,-54.009027,-38.054933,-1,2.63,1.01121E-05,4.1
21/02/2012,16:22:15,5,-54.008452,-38.054912,-99,2.605,3.81962E-07,4.1
21/02/2012,16:27:14,3,0,0,0,9999.999,9999.999,4.1
21/02/2012,16:32:14,1,0,0,0,9999.999,9999.999,4.1
21/02/2012,16:37:14,0,0,0,0,9999.999,9999.999,4.1
21/02/2012,16:42:14,1,0,0,0,9999.999,9999.999,4.1
21/02/2012,16:47:14,0,0,0,0,9999.999,9999.999,4.1
21/02/2012,16:52:15,5,-54.010084,-38.056109,-6,2.56,3.23537E-06,4.1
21/02/2012,16:57:15,5,-54.009412,-38.055125,25,2.49,9.55369E-07,4.1
21/02/2012,17:02:15,6,-54.009365,-38.055039,43,9999.999,5.28283E-06,4.1
21/02/2012,17:07:15,6,-54.009282,-38.055085,9,3.465,2.08612E-06,4.1
21/02/2012,17:12:15,5,-54.009687,-38.054682,46,9999.999,2.88846E-07,4.1
21/02/2012,17:17:15,3,0,0,0,9999.999,9999.999,4.1
21/02/2012,17:22:15,4,-54.009587,-38.053899,46,3.495,1.98304E-07,4.1
21/02/2012,17:27:15,5,-54.00917,-38.054559,35,3.505,3.83839E-07,4.1
21/02/2012,17:32:15,4,-54.00842,-38.050468,35,9999.999,2.85666E-07,4.1
21/02/2012,17:37:15,2,0,0,0,9999.999,9999.999,4.1
21/02/2012,17:42:15,3,0,0,0,9999.999,9999.999,4.1
21/02/2012,17:47:15,3,0,0,0,9999.999,9999.999,4.1
21/02/2012,17:52:15,7,-54.009301,-38.054895,6,2.57,7.04571E-06,4.1
21/02/2012,17:57:20,4,-54.004322,-37.989936,35,9999.999,1.14183E-05,4.1
21/02/2012,18:02:14,3,0,0,0,9999.999,9999.999,4.08
21/02/2012,18:07:14,3,0,0,0,9999.999,9999.999,4.1
21/02/2012,18:12:14,2,0,0,0,9999.999,9999.999,4.08
21/02/2012,18:17:15,6,-54.009285,-38.055166,59,9999.999,1.10157E-06,4.08
21/02/2012,18:22:15,5,-54.009048,-38.05551,-31,2.225,1.32971E-06,4.08
21/02/2012,18:27:14,2,0,0,0,9999.999,9999.999,4.08
21/02/2012,18:32:15,4,-54.009805,-38.052071,-31,9999.999,1.6529E-06,4.08
21/02/2012,18:37:14,0,0,0,0,9999.999,9999.999,4.08
21/02/2012,18:42:14,2,0,0,0,9999.999,9999.999,4.08
21/02/2012,18:47:15,6,-54.009102,-38.055134,-42,3.24,2.56713E-06,4.08
21/02/2012,18:52:15,5,-54.009679,-38.054528,52,9999.999,9.58757E-07,4.08
21/02/2012,18:57:15,5,-54.008412,-38.056051,-47,3.15,3.25603E-06,4.08
