Date,Time,No satellites used,Latitude,Longitude,Altitude,Clock offset,Accuracy indicator,Battery voltage
11/02/2012,17:36:08,3,0,0,0,9999.999,9999.999,4.12
11/02/2012,17:41:08,5,-54.010811,-38.054858,-99,9999.999,3.45128E-06,4.12
11/02/2012,17:46:08,7,-54.008098,-38.05156,0,-4.72,9.12609E-06,4.12
11/02/2012,17:51:08,4,-54.00838,-38.05152,0,-4.71,3.05292E-07,4.12
11/02/2012,17:56:08,4,-54.007458,-38.051461,0,-4.84,7.41139E-07,4.12
11/02/2012,18:01:08,0,0,0,0,9999.999,9999.999,4.12
11/02/2012,18:06:08,4,-54.008018,-38.051079,0,-4.935,7.93222E-07,4.12
11/02/2012,18:11:08,5,-54.008014,-38.051847,-8,-4.935,6.41091E-07,4.12
11/02/2012,18:16:08,4,-54.008058,-38.051041,-8,-4.885,3.32607E-07,4.12
11/02/2012,18:21:08,5,-54.008211,-38.051323,1,-4.865,2.04774E-07,4.12
11/02/2012,18:26:08,1,0,0,0,9999.999,9999.999,4.12
11/02/2012,18:31:08,4,-54.008254,-38.05181,1,-4.925,6.58532E-07,4.12
11/02/2012,18:36:08,5,-54.007679,-38.051871,-44,-4.99,4.84548E-07,4.12
11/02/2012,18:41:07,7,-54.007992,-38.051808,3,-5.03,4.99296E-06,4.12
11/02/2012,18:46:07,5,-54.007785,-38.051961,-8,9999.999,2.22615E-07,4.12
11/02/2012,18:51:08,4,-54.007916,-38.050305,3,-5.975,1.30086E-06,4.12
11/02/2012,18:56:07,5,-54.007578,-38.051416,-60,9999.999,1.52807E-07,4.12
11/02/2012,19:01:07,7,-54.007998,-38.05221,-18,-5.055,5.13693E-06,4.12
11/02/2012,19:06:07,7,-54.008164,-38.051533,29,9999.999,6.67536E-06,4.12
11/02/2012,19:11:07,7,-54.008069,-38.051653,35,-6.065,5.98917E-06,4.12
11/02/2012,19:16:07,7,-54.007861,-38.051616,-29,9999.999,2.59452E-06,4.12
11/02/2012,19:21:07,9,-54.007878,-38.051535,-15,-6.09,1.04192E-05,4.12
11/02/2012,19:26:07,6,-54.007906,-38.05166,-4,-6.11,5.31855E-06,4.12
11/02/2012,19:31:07,4,-54.008139,-38.051853,-4,-6.135,7.23602E-07,4.1
11/02/2012,19:36:07,8,-54.007975,-38.051595,-19,-6.17,8.96907E-06,4.12
11/02/2012,19:41:07,6,-54.008245,-38.051356,59,-6.19,1.97719E-06,4.12
11/02/2012,19:46:07,4,-54.008671,-38.05216,59,-6.17,3.5024E-07,4.12
11/02/2012,19:51:07,6,-54.007932,-38.051558,-6,-6.165,7.67004E-07,4.12
11/02/2012,19:56:07,6,-54.007938,-38.051555,-5,-6.2,2.80862E-06,4.12
11/02/2012,20:01:07,7,-54.007917,-38.051527,-12,-6.245,6.7581E-06,4.12
11/02/2012,20:06:07,4,-54.015507,-38.039887,-12,9999.999,8.7768E-07,4.12
11/02/2012,20:11:06,0,0,0,0,9999.999,9999.999,4.12
11/02/2012,20:16:06,0,0,0,0,9999.999,9999.999,4.12
11/02/2012,20:21:06,0,0,0,0,9999.999,9999.999,4.1
11/02/2012,20:26:06,0,0,0,0,9999.999,9999.999,4.1
11/02/2012,20:31:06,0,0,0,0,9999.999,9999.999,4.1
11/02/2012,20:36:06,1,0,0,0,9999.999,9999.999,4.1
