Date,Time,No satellites used,Latitude ,Longitude,Altitude,Clock offset,Accuracy indicator,Battery voltage
11/02/2012,17:32:40,2,0,0,0,9999.999,9999.999,4.1
11/02/2012,17:37:40,2,0,0,0,9999.999,9999.999,4.1
11/02/2012,17:42:40,1,0,0,0,9999.999,9999.999,4.1
11/02/2012,17:47:40,3,0,0,0,9999.999,9999.999,4.1
11/02/2012,17:52:40,3,0,0,0,9999.999,9999.999,4.1
11/02/2012,17:57:40,1,0,0,0,9999.999,9999.999,4.1
11/02/2012,18:02:40,3,0,0,0,9999.999,9999.999,4.1
11/02/2012,18:07:40,0,0,0,0,9999.999,9999.999,4.1
11/02/2012,18:12:40,1,0,0,0,9999.999,9999.999,4.1
11/02/2012,18:17:40,2,0,0,0,9999.999,9999.999,4.1
11/02/2012,18:22:40,7,-54.008393,-38.052218,14,9999.999,3.51515E-06,4.1
11/02/2012,18:27:40,5,-54.008439,-38.053347,5,-6.575,2.62551E-07,4.1
11/02/2012,18:32:40,5,-54.008216,-38.052429,-19,-6.63,3.80213E-07,4.1
11/02/2012,18:37:40,3,0,0,0,9999.999,9999.999,4.1
11/02/2012,18:42:40,4,-54.006803,-38.049631,-19,-6.635,1.20778E-06,4.1
11/02/2012,18:47:40,7,-54.00806,-38.052379,-60,-6.63,6.30226E-06,4.1
11/02/2012,18:52:40,6,-54.008195,-38.052215,1,-6.61,3.87505E-06,4.1
11/02/2012,18:57:40,3,0,0,0,9999.999,9999.999,4.1
11/02/2012,19:02:40,5,-54.008195,-38.051922,63,-6.615,3.29881E-06,4.1
11/02/2012,19:07:40,4,-54.008731,-38.051318,63,-6.61,8.55099E-07,4.1
11/02/2012,19:12:40,3,0,0,0,9999.999,9999.999,4.1
11/02/2012,19:17:40,4,-54.008668,-38.051738,63,-6.605,8.76379E-07,4.1
11/02/2012,19:22:40,3,0,0,0,9999.999,9999.999,4.1
11/02/2012,19:27:40,9,-54.008084,-38.052264,15,-6.67,7.68289E-06,4.1
11/02/2012,19:32:40,2,0,0,0,9999.999,9999.999,4.1
11/02/2012,19:37:40,3,0,0,0,9999.999,9999.999,4.1
11/02/2012,19:42:40,6,-54.008148,-38.052157,52,-6.77,1.72008E-06,4.1
11/02/2012,19:47:40,4,-54.008635,-38.052542,52,-6.825,4.54182E-07,4.1
11/02/2012,19:52:40,4,-54.008272,-38.052865,52,-6.805,1.09171E-07,4.1
11/02/2012,19:57:40,4,-54.009307,-38.050898,52,-6.8,1.30463E-07,4.1
11/02/2012,20:02:40,7,-54.008306,-38.051933,49,-6.82,1.03408E-05,4.1
11/02/2012,20:07:40,6,-54.0082,-38.052129,42,-6.825,5.12005E-06,4.1
11/02/2012,20:12:40,7,-54.008103,-38.051954,3,-6.835,7.28392E-06,4.1
11/02/2012,20:17:40,6,-54.008387,-38.052346,35,-6.87,2.59629E-06,4.1
11/02/2012,20:22:40,6,-54.008159,-38.052325,134,-6.905,8.18828E-06,4.1
11/02/2012,20:27:40,6,-54.008369,-38.052043,76,-6.905,4.54855E-06,4.1
11/02/2012,20:32:40,4,-54.007871,-38.051055,76,-6.905,2.50437E-06,4.1
11/02/2012,20:37:40,6,-54.008522,-38.05234,73,-6.93,9.18804E-06,4.1
11/02/2012,20:42:40,7,-54.008234,-38.052087,40,-6.97,3.54585E-06,4.1
11/02/2012,20:47:40,4,-54.008035,-38.05071,40,-6.95,8.5557E-08,4.1
11/02/2012,20:52:40,4,-54.008327,-38.049333,40,-6.87,4.4985E-07,4.1
